data2,data3,data4,data5,data6
12.64057917,10.88736391,15.63272154,26.4758836,16.92293966
15.12229249,41.41279793,13.97887413,30.7486894,12.27988214
23.8692188,9.85693517,14.09374103,19.31333293,16.91853727
9.15327558,41.97945043,20.25536045,11.80399427,19.34592222
24.14349622,21.24996433,19.43536887,14.86878696,7.95968689
11.23972797,18.72106858,27.53617823,15.92431426,8.41660276
17.73861511,12.06197861,16.96668155,32.07701392,15.57332321
13.29780836,44.1248952,12.16320761,12.14207828,11.92209155
15.34974484,7.7722566,28.44973699,20.78491861,16.35052939
16.73189757,16.25156902,35.89754513,17.76480176,18.72595246
10.96343829,18.95449644,10.58036758,16.80404339,9.2441226
11.76928501,12.55833927,19.2117882,14.2232331,7.20821959
15.33853102,16.9410591,27.42647984,24.8913847,8.05046251
11.70886861,24.2398737,16.67663995,25.15959478,12.91546019
13.81412938,14.65822961,27.77662665,9.41452895,17.42232748
22.14109392,33.43565235,24.71134334,6.74651681,9.31090183
17.01692236,22.39061624,10.68740313,15.57284149,10.5211984
14.04526905,46.68105543,25.18760988,25.23683369,18.7222845
23.76827395,42.99073089,24.93625185,21.47854556,17.73905117
12.25109357,31.68695293,21.7098271,9.11453734,13.83728681
8.03482664,10.19147256,24.56492888,18.81334784,21.01702139
13.75058759,38.97918723,21.53757372,23.28075601,16.81871193
12.29578948,6.07937348,10.88394306,21.11839846,15.11096814
6.34069814,25.27960472,15.84415109,25.88973597,21.16684163
12.50766741,40.18128458,20.0352563,25.21254454,17.34665404
7.2353637,21.65720194,25.61520612,25.65850393,9.61958121
21.93048018,29.06851578,18.45919364,9.89041039,9.18061766
12.63843372,10.45630963,21.36019662,17.81860026,17.27408294
12.84171761,26.16884039,23.69964977,18.62733559,14.32010663
20.86086201,17.48285752,21.19191612,20.37548807,13.44600041
7.14415352,31.93728317,30.3509941,5.96715063,11.80855165
27.71466463,21.55796358,13.01033021,20.91131302,25.0827948
27.96040113,44.47081396,28.35867593,34.08668879,14.40572128
15.26549764,35.67476124,25.81459911,26.7194521,9.61422936
16.69071218,14.59418233,17.84562288,12.19274531,15.32371774
36.50395488,28.88866989,42.97356229,10.74919626,8.3120133
12.71221559,17.03616352,14.93370798,8.83392708,12.93464595
6.22055207,7.78274397,14.86331938,12.16982589,18.02792735
17.32001921,9.93391472,15.42788754,23.54944721,15.99743377
43.25064388,23.4906709,17.6913234,12.25657942,9.70029697
13.89777131,13.16076137,14.35040291,11.58623504,19.72328409
35.33054387,27.78581049,26.02986989,25.21979457,9.40067683
26.10392264,13.84494952,13.32346608,15.20919875,12.65309048
20.19550114,27.28462645,24.7205592,14.49548372,15.58183556
16.35184463,12.62346836,14.64645068,20.60781962,12.98249997
25.536259,43.37393866,23.00624352,20.4889239,17.50368254
23.67428455,39.37748136,18.06012173,18.36626538,15.33515329
28.63900126,29.31440569,39.64601753,19.5654598,17.46328668
12.89695707,9.90631958,15.45962777,6.69363634,11.91018409
10.5883699,6.63526499,19.51727068,25.74421951,13.55706471
9.02278237,23.84522396,13.25285929,25.43606518,14.01428024
27.40900344,36.61806786,11.0672658,16.89748991,11.44461635
17.59290534,43.3628876,12.01587528,15.47254147,24.78007489
7.79764449,22.48336431,28.327277,33.38833189,8.02793357
7.39162178,11.53323354,23.01693934,18.66026674,20.43599689
23.81161155,12.17282417,23.25876259,30.06765306,12.26995278
15.70430894,31.87299932,15.04966012,17.43194336,24.42346304
21.83514275,16.00321324,13.72857934,30.89044311,23.49026958
15.90580443,12.42448259,35.96527337,7.12351964,19.37918767
13.48641493,47.81588264,25.25985182,29.75341724,11.85193586
9.85968764,25.90574681,23.22727413,10.31635044,20.54588277
22.87097962,18.97086326,15.03653142,14.30671241,8.93615392
13.42641859,18.34517988,19.29478496,9.5012152,15.4105368
7.31376061,10.8387776,18.23707092,7.75182729,22.32164235
31.44884977,20.32592528,13.89019286,28.39925218,18.56182624
18.43807822,27.41837386,25.85181954,25.46339361,8.89243904
26.86946645,9.49680425,30.03233332,8.29707758,15.34159484
11.40164658,13.35784892,23.88169319,27.38477888,25.39721902
9.03733332,17.57274857,33.69702419,8.43044748,14.39545292
