num_qubits,tickers,"s1, s2",kappa_opt,kappa_original
8,"['PAYX', 'PCAR', 'SGEN', 'ROST', 'CTAS', 'CRWD', 'LCID', 'MDLZ']",[ 0.09991222 -0.00012002 -0.00111901],51.706522384442884,36040.61566860836
9,"['CHTR', 'NXPI', 'XEL', 'META', 'GOOGL', 'WDAY', 'COST', 'ABNB', 'MCHP']",[ 1.60490617e+00 -2.85131242e-04 -1.29334586e-03],129.64479068992992,36574.52448903731
9,"['ATVI', 'PEP', 'PCAR', 'CMCSA', 'TEAM', 'FAST', 'IDXX', 'CPRT', 'FANG']",[ 0.08662984  0.00012198 -0.00212984],38.09352613050384,33650.045784681875
9,"['AZN', 'PYPL', 'NXPI', 'PAYX', 'CSCO', 'AAPL', 'VRTX', 'SGEN', 'MELI']",[ 0.08573281 -0.00013995 -0.00102589],43.76424263206531,29578.49685577298
9,"['WBD', 'SIRI', 'ENPH', 'EXC', 'KDP', 'GILD', 'ROST', 'PDD', 'PANW']",[ 0.08131942  0.00013904 -0.00192567],51.76167872171729,27318.811029038465
9,"['ADP', 'AMD', 'KDP', 'EBAY', 'DDOG', 'VRSK', 'PCAR', 'PYPL', 'VRTX']",[ 0.07118592  0.00013405 -0.00081469],51.98956611157091,34234.09114317741
9,"['AAPL', 'NFLX', 'TEAM', 'EXC', 'DDOG', 'CSCO', 'CSGP', 'KLAC', 'WDAY']",[ 0.10632359 -0.00024053 -0.00188396],59.323498567734,25395.382981474177
9,"['ABNB', 'ISRG', 'ODFL', 'ENPH', 'PDD', 'SGEN', 'KLAC', 'FTNT', 'WBD']",[ 0.20399902  0.00038558 -0.00222973],26.585204179802375,10999.276221543721
9,"['AMD', 'FTNT', 'MAR', 'SGEN', 'ZS', 'NFLX', 'LULU', 'INTC', 'DLTR']",[-0.19525616 -0.0003831  -0.00496344],25.321807021786476,11610.656757217877
9,"['AMD', 'PCAR', 'PAYX', 'SNPS', 'XEL', 'ADI', 'ORLY', 'MNST', 'TXN']",[ 1.78316791e-01 -1.48142539e-04 -1.52471384e-03],67.20984474281246,60985.719247522655
9,"['CDNS', 'MELI', 'ROST', 'VRTX', 'CPRT', 'MRNA', 'COST', 'CTAS', 'ENPH']",[ 1.60459306e+00  1.81659299e-04 -1.29310164e-03],66.97903549634214,30769.649508175433
