num_qubits,tickers,"s1, s2",kappa
6,"['FANG', 'CSCO', 'CTSH', 'LRCX', 'ZM', 'IDXX']",[ 0.15068429  0.00028663 -0.00089531],17.749450140226852
6,"['SBUX', 'ODFL', 'LCID', 'GOOG', 'DDOG', 'ZS']",[0.16385633 0.00038424 0.00508579],24.983246358449147
6,"['PYPL', 'BKR', 'ADSK', 'PANW', 'FANG', 'ASML']",[ 0.14953505  0.00034025 -0.00144299],15.382440709692482
6,"['IDXX', 'CHTR', 'COST', 'CTAS', 'DDOG', 'MRNA']",[ 2.68061774e-01 -2.12279715e-04 -1.08793725e-03],29.57010058470346
6,"['KLAC', 'PDD', 'CPRT', 'MRVL', 'PANW', 'CHTR']",[ 0.21959908  0.00026309 -0.00254189],39.00728262195643
6,"['KHC', 'SNPS', 'NVDA', 'ANSS', 'CHTR', 'IDXX']",[ 1.85991534e-01  1.62473922e-04 -2.94359795e-03],28.414425955824253
6,"['TXN', 'WBA', 'LCID', 'DLTR', 'CSX', 'AMGN']",[ 0.08660419  0.00020495 -0.00253371],20.37375091488873
6,"['DXCM', 'MRVL', 'BIIB', 'CMCSA', 'MAR', 'ASML']",[ 0.16493249 -0.000298   -0.00218593],17.16854073090196
6,"['PDD', 'ALGN', 'SBUX', 'PCAR', 'TEAM', 'TSLA']",[ 0.22705568  0.00029994 -0.00178164],37.80048184340744
7,"['FAST', 'BIIB', 'XEL', 'COST', 'MRVL', 'META', 'WBD']",[ 0.12029867  0.00015019 -0.00200382],35.23603429825384
7,"['MNST', 'GOOGL', 'SGEN', 'ALGN', 'CSX', 'FTNT', 'CTSH']",[ 0.11932145  0.00023049 -0.00032699],17.696675368016205
7,"['CMCSA', 'CRWD', 'ALGN', 'VRTX', 'CTAS', 'AAPL', 'SNPS']",[ 0.12784772  0.00021675 -0.0014051 ],33.26380677736016
7,"['FAST', 'MRVL', 'AAPL', 'BKNG', 'AZN', 'CSCO', 'PCAR']",[-0.12104181 -0.00015998 -0.0016248 ],23.336463357498516
7,"['MCHP', 'MAR', 'ODFL', 'GOOG', 'MNST', 'HON', 'AAPL']",[ 1.60479707e+00  1.69164833e-04 -1.29298965e-03],39.60502505393217
7,"['WBD', 'ORLY', 'SBUX', 'MCHP', 'ISRG', 'ANSS', 'ILMN']",[ 0.15325363 -0.0002278  -0.00165795],23.738424466926283
7,"['SGEN', 'GOOG', 'ZS', 'PANW', 'MRVL', 'ADSK', 'MDLZ']",[-0.15844833  0.00034418 -0.00128411],29.729911198845773
